Key	Type	Desc	Thai
Items/LargeOreAndBlockPouch	Text		Túi Quặng Và Khối Lớn
Items/LargeOreAndBlockPouchDesc	Text		Một chiếc túi lớn được làm dành riêng cho quặng và khối đất đá, với các ô chuyên dụng tự động sắp xếp các vật phẩm khi bạn thu thập chúng.
Items/LargePassageDestructible	Text		Cụm Hóa Thạch Lớn
Items/LargePassageDestructibleDesc	Text		Một đống hóa thạch biển bị vôi hóa chất cao. Có thể có một số tài nguyên bên trong.
Items/LargePotionPouch	Text		Túi Thuốc Dược Phẩm Lớn
Items/LargePotionPouchDesc	Text		Một chiếc túi lớn được làm dành riêng cho thuốc dược phẩm, với các ô chuyên dụng tự động sắp xếp các vật phẩm khi bạn thu thập chúng.
Items/LargeSeedAndCropsPouch	Text		Túi Hạt Giống Và Nông Sản Lớn
Items/LargeSeedAndCropsPouchDesc	Text		Một chiếc túi lớn được làm dành riêng cho hạt giống và nông sản, với các ô chuyên dụng tự động sắp xếp các vật phẩm khi bạn thu thập chúng.
Items/LargeShinyGlimmeringObject	Text		Vật Thể Lấp Lánh Khổng Lồ
Items/LargeShinyGlimmeringObjectDesc	Text		Một vật thể hình quả trứng bằng tinh thể có thể thu hút sự chú ý từ những độ cao lớn.
Items/LargeTempleRug	Text		Thảm Trang Trí Đền Thờ Lớn
Items/LargeTempleRugDesc	Text		Một chiếc thảm cổ rộng lớn với hoa văn vô cùng chi tiết được dệt trên đó. Nó chắc hẳn đã từng là một món đồ đắt giá và là biểu tượng của sự thịnh vượng.
Items/LargeValuablePouch	Text		Túi Đồ Quý Giá Lớn
Items/LargeValuablePouchDesc	Text		Một chiếc túi lớn được làm dành riêng cho các vật phẩm quý giá, với các ô chuyên dụng tự động sắp xếp các vật phẩm khi bạn thu thập chúng.
Items/LargeWaterCan	Text		Bình Tưới Nước Lớn
Items/LargeWaterCanDesc	Text		Dùng để tưới nước cho hạt giống và đất. Nó chứa nhiều nước hơn bình tưới thông thường và bao phủ diện tích lên tới 2x2 ô.
Items/Larva	Text		Ấu Trùng
Items/LarvaBBQ	Text		Lò Nướng Cắm Trại
Items/LarvaBBQDesc	Text		Một phần lò sưởi, một phần lò nướng. Đó là một nơi tuyệt vời để tụ tập cùng nhau và thưởng thức những miếng thịt ấu trùng nướng cháy cạnh.
Items/LarvaBossCrystal	Text		Sừng Của Ghorm
Items/LarvaBossCrystalDesc	Text		Một viên đá quý sắc nhọn giúp ấu trùng phát triển vượt xa kích thước tối đa của nó.
Items/LarvaBossScanner	Text		Máy Quét Ghorm Kẻ Nuốt Chửng
Items/LarvaBossScannerDesc	Text		Quét thế giới để tìm Ghorm Kẻ Nuốt Chửng. Bị tiêu hao khi quét thành công.
Items/LarvaBossSummoningItem	Text		Tượng Triệu Hồi Ghorm
Items/LarvaBossSummoningItemDesc	Text		Tượng tinh thể để đánh thức lại Ghorm Kẻ Nuốt Chửng. Bị tiêu hao khi đặt lên cổ tự triệu hồi của Ghorm.
Items/LarvaBreastArmor	Text		Giáp Ngực Ấu Trùng
Items/LarvaBreastArmorDesc	Text		Đừng làm bất kỳ thứ gì khác. Hãy làm sâu bướm.
Items/LarvaHelm	Text		Mũ Giáp Ấu Trùng
Items/LarvaHelmDesc	Text		Không cần mũ sang trọng. Chỉ sâu bướm thôi.
Items/LarvaMeat	Text		Thịt Ấu Trùng
Items/LarvaMeatDesc	Text		Chỉ những kẻ sống sót đích thực mới ăn sống nó.
Items/LarvaRing	Text		Nhẫn Ấu Trùng
Items/LarvaRingDesc	Text		Một chiếc nhẫn còn sống, không dành cho những người sợ côn trùng nhung nhúc.
Items/LarvaSkewer	Text		Thịt Xiên Ấu Trùng
Items/LarvaSkewerDesc	Text		Một cách khá tàn nhẫn để tích trữ thịt cho lần sử dụng sau.
Items/LarvaSpikeClub	Text		Gậy Gai Ấu Trùng
Items/LarvaSpikeClubDesc	Text		Một vũ khí đập gõ khó có thể chống đỡ.
Items/LarvaTrophy	Text		Mô hình Ấu Trùng
Items/LarvaTrophyDesc	Text		Mô hình sống động của một con Ấu Trùng.
Items/LarvaskinRug	Text		Thảm Da Ấu Trùng
Items/LarvaskinRugDesc	Text		Tấm thảm gớm ghiếc này đồng thời là chiến lợi phẩm từ những con ấu trùng bị săn để lấy da.
Items/LarvaskinRugRed	Text		Thảm Da Ấu Trùng Tổ
Items/LarvaskinRugRedDesc	Text		Tấm thảm gớm ghiếc này đồng thời là chiến lợi phẩm từ những con ấu trùng tổ bị săn để lấy da.
Items/LarvaskinTent	Text		Lều Da Ấu Trùng
Items/LarvaskinTentDesc	Text		Ngôi nhà đơn sơ này hẳn phải sử dụng rất nhiều da ấu trùng. Ngoài ra còn có các mảnh chắp vá từ các sinh vật khác.
Items/LaserDrillTool	Text		Tia Hủy Diệt
Items/LaserDrillToolDesc	Text		Một công cụ khai thác năng lượng cao liên tục ở giới hạn phát nổ. Tia laser khó lòng kiểm soát này nung chảy hầu hết mọi thứ trên đường đi.
Items/LavaAxe	Text		Rìu Chiến Dung Nham
Items/LavaAxeDesc	Text		Một vũ khí nặng nề, âm ỉ trông giống như vừa được lấy ra từ lò rèn.
Items/LavaBreastArmor	Text		Giáp Thân Magma
Items/LavaBreastArmorDesc	Text		Bộ giáp rực lửa này gần như quá nóng để chạm vào nhưng sẽ trở nên tôi luyện thích hợp khi mặc.
Items/LavaButterfly	Text		Bướm Dung Nham
Items/LavaButterflyTrophy	Text		Mô hình Bướm Dung Nham
Items/LavaButterflyTrophyDesc	Text		Mô hình sống động của một con Bướm Dung Nham.
Items/LavaHelm	Text		Mũ Giáp Sừng Magma
Items/LavaHelmDesc	Text		Một trang bị cực kỳ tuyệt vời khiến bạn trông giống như kẻ báo hiệu sự diệt vong.
Items/LavaMortar	Text		Pháo Cối Núi Lửa
Items/LavaMortarDesc	Text		Phun các mảnh đá nóng chảy vào không trung rồi rơi xuống như những thiên thạch.
Items/LavaPantsArmor	Text		Giáp Chân Magma
Items/LavaPantsArmorDesc	Text		"""""Một bộ giáp chân nóng chảy làm từ đá lỏng, định nghĩa lại hoàn toàn khái niệm ""chân dài nóng bỏng"".
""
""
"
Items/LavaPost1	Text		Gỗ Mỏ Đá Hỏng
Items/LavaPost1Desc	Text		Một nửa của cấu trúc gỗ bị hỏng dường như đã từng giữ thứ gì đó cố định.
Items/LavaPost2	Text		Gỗ Mỏ Đá Lớn
Items/LavaPost2Desc	Text		Cấu trúc gỗ được sử dụng để giữ quặng và đá phía trên ngọn lửa. Nhiệt độ tăng vọt đã khiến nó không thể sử dụng được nữa.
Items/LavaRock	Text		Đá Dung Nham
Items/LavaRockDesc	Text		Bạn không chắc tại sao mình lại làm điều này... nhưng ít nhất bây giờ bạn có một viên đá rất nóng.
Items/LavaShield	Text		Khiên Hỏa Thạch
Items/LavaShieldDesc	Text		Lớp vỏ đá nóng chảy, được tạo hình để sử dụng như một chiếc khiên.
Items/LavaSlime	Text		Slime Magma
Items/LavaSlimeBlob	Text		Chất Nhầy Dung Nham
Items/LavaSlimeBossChest	Text		Rương Của Igneous
Items/LavaSlimeBossChestDesc	Text		Một chiếc rương phủ đầy magma gợi nhớ đến Khối Dung Nham Nóng Chảy.
Items/LavaSlimeBossScanner	Text		Máy Quét Igneous Khối Dung Nham Nóng Chảy
Items/LavaSlimeBossScannerDesc	Text		Quét thế giới để tìm Igneous Khối Dung Nham Nóng Chảy. Bị tiêu hao khi quét thành công.
Items/LavaSlimeDesc	Text		Một giọt chất nhầy rực lửa tối màu. Có thể được xử lý thêm.
Items/LavaSlimeTrophy	Text		Mô hình Slime Dung Nham
Items/LavaSlimeTrophyDesc	Text		Mô hình sống động của một con Slime Dung Nham.
Items/LavaStalagmite	Text		Măng Đá Dung Nham
Items/LavaStalagmiteDesc	Text		Một cột đá được hình thành qua hàng ngàn năm nhờ magma nhỏ giọt.
Items/LavaWoodenDestructible	Text		Thùng Gỗ Than Hóa
Items/LavaWoodenDestructibleDesc	Text		Chiếc thùng gỗ lớn này đã bị đen xém bởi môi trường nóng thiêu đốt.
Items/LeafFossil	Text		Hóa Thạch Lá Cây
Items/LeafFossilDesc	Text		Bằng chứng về một môi trường từng rất phồn thịnh.
Items/Leash	Text		Dây Dắt
Items/LeashDesc	Text		Sợi dây dắt dài này có thể buộc vào bất kỳ gia súc nào để giục chúng đi nhanh hơn. Rất hữu ích khi có kẻ thù đang săn lùng những miếng thịt mềm ngon.
Items/LeatherFrame	Text		Khung Căng Da
Items/LeatherFrameDesc	Text		Khung gỗ này từng được sử dụng để kéo căng da ấu trùng và sản xuất thành da thuộc.
Items/LeatherFrameSmall	Text		Khung Căng Da Nhỏ
Items/LeatherFrameSmallDesc	Text		Khung gỗ nhỏ này tận dụng cả những con ấu trùng nhỏ nhất để biến da của chúng thành da thuộc.
Items/LegendaryBow	Text		Phantom Spark
Items/LegendaryBowDesc	Text		Cây cung huyền thoại được chế tác điêu luyện bắn ra các mũi tên năng lượng thuần khiết. Đôi khi chúng xuyên qua bức màn thời gian và không gian, triệu gọi các linh hồn của quá khứ.
Items/LegendaryBowParchment	Text		Bản Thảo Cổ Tự
Items/LegendaryBowParchmentDesc	Text		Một mảnh giấy cổ xưa được bảo quan tốt đến lạ thường. Trên đó có các ký tự và hình vẽ hướng dẫn cách rèn một vũ khí cổ đại mạnh mẽ.
Items/LegendaryBowPart1	Text		Đá Quý Truyền Dẫn
Items/LegendaryBowPart1Desc	Text		Một viên đá quý cổ xưa được chạm khắc đặc biệt giúp tập trung năng lượng ở đầu nhọn của nó. Nó dường như là mảnh trung tâm của một vũ khí cổ đại mạnh mẽ.
Items/LegendaryBowPart2	Text		Cánh Cung Nứt Vỡ
Items/LegendaryBowPart2Desc	Text		Những mảnh vàng từng dường như được hợp nhất với nhau để chịu đựng áp lực lớn. Một thứ gì đó mang sức mạnh vốn có khủng khiếp hẳn đã phá vỡ chúng.
Items/LegendaryBowPart3	Text		Dây Cung Năng Lượng
Items/LegendaryBowPart3Desc	Text		Một sợi dây mảnh có các mảnh đá quý cổ xưa siêu nhỏ được dệt bên trong. Sự tồn tại của nó là minh chứng cho sự làm chủ tuyệt đối về vật liệu của bất kỳ ai đã tạo ra nó.
Items/LegendaryMiningPick	Text		Soul Seeker
Items/LegendaryMiningPickDesc	Text		Một nguyên mẫu kế thừa của Cuốc Chim Cổ Đại từng bị bỏ dở trước đây. Trong ngọn lửa của Lò Rèn Cổ Đại, giờ đây nó cuối cùng đã được hoàn thành.
Items/LegendaryMiningPickParchment	Text		Bản Thảo Mật Mã
Items/LegendaryMiningPickParchmentDesc	Text		Một cuộn giấy vàng được bảo quản tốt đến lạ thường. Giữa những cổ tự viền xanh là hình vẽ về một lò rèn cổ xưa trông giống như khuôn mặt của một dân hang động.
Items/LegendaryMortar	Text		Điềm Báo Hủy Diệt
Items/LegendaryMortarDesc	Text		Một di vật sinh ra từ lòng sùng mộ cuồng tín và sự tha hóa của hư không. Được rèn từ chính bộ khung của S.A.H.A.B.A.R. và các bộ phận được thánh hóa từ Breaker's Reach.
Items/LegendaryMortarParchment	Text		Bản Thảo Sơ Đồ
Items/LegendaryMortarParchmentDesc	Text		Một bản thiết kế được bảo quản tốt nhưng phức tạp. Các chữ tượng hình với các chữ số kỳ lạ của nó phác thảo các bước lắp ráp một vũ khí tàn phá khủng khiếp.
Items/LegendaryMortarPart1	Text		Nòng Pháo Rèn Hư Không
Items/LegendaryMortarPart1Desc	Text		Một ống pháo bị nứt, được nhặt từ máy đào của giáo phái. Bề mặt của nó bị biến dạng do sự tha hóa của hư không. Rõ ràng là dùng để hoàn thiện một thiết kế lớn hơn.
Items/LegendaryMortarPart2	Text		Lõi Kích Nổ Thánh Hóa
Items/LegendaryMortarPart2Desc	Text		Một thiết bị đánh lửa làm bằng đá quý, từng được những kẻ lưu vong của Sahabar sử dụng để dung hợp giữa lời cầu nguyện và máy móc. Ngay cả khi không hoạt động, nó vẫn tỏa ra niềm tin kỳ lạ của những người tin rằng kim loại có thể mang theo đức tin. Nó dường như được tạo ra để phù hợp với một thứ gì đó vĩ đại hơn.
Items/LegendaryMortarPart3	Text		Khung Súng Cối Của S.A.H.A.B.A.R.
Items/LegendaryMortarPart3Desc	Text		"""""""Bệ phóng bị vỡ vụn bị xé toạc từ bộ khung của S.A.H.A.B.A.R. Một dòng chữ mờ trên thân vỏ ghi ""Sanctified Artificial Herald Against Breach And Ruin"" (Sứ Giả Nhân Tạo Thánh Hóa Chống Lại Sự Phá Vỡ Và Tàn Phá). Các đường ray của nó vẫn giữ nhiệt độ âm ỉ.""
""
""
"
Items/LegendaryStaff	Text		Titan Breath
Items/LegendaryStaffDesc	Text		Được chế tác từ nghịch lý bị kìm hãm, nó hấp thụ năng lượng để thở ra một vết cắt có kiểm soát qua aether. Bất cứ thứ gì bị mắc kẹt bên trong đều bị choáng ngợp bởi entropy tinh khiết.
Items/LegendaryStaffParchment	Text		Bản Thảo Chòm Sao
Items/LegendaryStaffParchmentDesc	Text		Một bản đồ cổ xưa về các cụm sao. Các tọa độ được đánh dấu bằng các ký hiệu cho thấy các điểm có năng lượng thanh linh cao, có thể được khai thác từ xa.
Items/LegendaryStaffPart1	Text		Cành Cây Cuộn
Items/LegendaryStaffPart1Desc	Text		Những cành non của nó quấn quanh bất cứ thứ gì nó chạm vào với một cái nắm chắc chắn. Nó chắc chắn có thể liên kết những mảnh dễ bay hơi nhất lại với nhau.
Items/LegendaryStaffPart2	Text		Gậy Magma
Items/LegendaryStaffPart2Desc	Text		Luôn luôn nóng khi chạm vào, được đúc bằng hợp kim dẫn ma thuật cao. Nó sẽ khuếch đại sức mạnh to lớn nếu được làm mát đủ để sử dụng đúng cách.
Items/LegendaryStaffPart3	Text		Quả Cầu Băng Giá
Items/LegendaryStaffPart3Desc	Text		Lạnh giá khi chạm vào, nhưng không bao giờ tan chảy. Ánh sáng bên trong dường như sẵn sàng tàn phá nếu được làm ấm vừa đủ để thoát khỏi ngục tù lạnh lẽo của nó.
Items/LegendarySword	Text		Rune Song
Items/LegendarySwordBlade	Text		Lưỡi Kiếm Sứt Mẻ
Items/LegendarySwordBladeDesc	Text		Một mảnh của một vũ khí cổ đại. Vẻ ngoài giống như thủy tinh khiến nó trông mỏng manh nhưng nó lại cứng hơn bất kỳ vật liệu nào bạn từng thấy.
Items/LegendarySwordDesc	Text		Thanh kiếm huyền thoại phát ra tiếng ngân nga khi vung qua không trung. Độ bền của nó là minh chứng cho tay nghề thủ công phi thường, được cho là mang theo tiếng thì thầm của những trận chiến cổ xưa bên trong lưỡi kiếm.
Items/LegendarySwordGemstone	Text		Đá Quý Trong Suốt
Items/LegendarySwordGemstoneDesc	Text		Một mảnh của vũ khí cổ đại. Mặc dù cùng chất liệu với các viên đá quý cổ xưa, viên đá này mang lại cảm giác trong suốt một cách kỳ lạ và tràn đầy một nguồn năng lượng lạ thường.
Items/LegendarySwordParchment	Text		Bản Thảo Cổ Tự
Items/LegendarySwordParchmentDesc	Text		Một mảnh giấy cổ xưa được bảo quản tốt đến lạ thường. Các cổ tự không thể giải mã được nhưng các biểu tượng nhỏ gợi ý rằng đó là công thức cho một vũ khí kỳ lạ.
Items/Lever	Text		Cần Gạt
Items/LeverDesc	Text		Tạo ra một lượng điện nhỏ có thể bật và tắt.
Items/LightningGun	Text		Stormbringer
Items/LightningGunDesc	Text		Được tăng cường bởi một nguồn năng lượng bí ẩn, vũ khí này giải phóng những tia sét lan truyền lên kẻ thù của bạn. Cầm nó mang lại cảm giác tê rần chạy dọc hai cánh tay.
Items/LiquidMetal	Text		Splendid Amalgam
Items/LiquidMetalBasin	Text		Lòng Chảo Hỗn Hợp
Items/LiquidMetalBasinDesc	Text		Một cấu trúc đá tự nhiên với hoạt động núi lửa. Sự kết nối của nó với độ sâu của trái đất đã cho phép nó tạo ra một loại kim loại đặc biệt.
Items/LiquidMetalDesc	Text		Một chất lỏng kim loại nóng sôi hòa nhập với các tế bào cơ thể sau khi tiêu thụ, khiến chúng dẻo dai kiên cường hơn.
Items/LiquidMetalVent	Text		Miệng Phun Hỗn Hợp
Items/LiquidMetalVentDesc	Text		Một cấu trúc phụ của Lòng Chảo Hỗn Hợp giúp giải phóng lượng nhiệt tích tụ.
Items/LithoTrilobite	Text		Bọ Ba Thùy Đá
Items/LithoTrilobiteDesc	Text		Hậu duệ đột biến của tổ tiên đã tuyệt chủng của nó. Chiếc mai màu xám của nó đã thích nghi để chịu được áp suất cực lớn.
Items/LockedCopperChest	Text		Rương Đồng Khóa
Items/LockedCopperChestDesc	Text		Một chiếc rương thô sơ làm từ đồng với những sợi xích nặng nề quấn quanh. Nó có thể được mở bằng chìa khóa phù hợp.
Items/LockedGalaxiteChest	Text		Rương Galaxite Khóa
Items/LockedGalaxiteChestDesc	Text		Một chiếc rương không thể phá hủy làm từ galaxite với những sợi xích nặng nề quấn quanh. Nó có thể được mở bằng chìa khóa phù hợp.
Items/LockedIronChest	Text		Rương Sắt Khóa
Items/LockedIronChestDesc	Text		Một chiếc rương cũ làm bằng sắt với những sợi xích nặng nề quấn quanh. Nó có thể được mở bằng chìa khóa phù hợp.
Items/LockedKingChest	Text		Rương Vua Sa Mạc Khóa
Items/LockedOctarineChest	Text		Rương Octarine Khóa
Items/LockedOctarineChestDesc	Text		Một chiếc rương cồng kềnh làm từ octarine với những sợi xích nặng nề quấn quanh. Nó có thể được mở bằng chìa khóa phù hợp.
Items/LockedPrinceChest	Text		Rương Hoàng Tử Sa Mạc Khóa
Items/LockedQueenChest	Text		Rương Nữ Hoàng Sa Mạc Khóa
Items/LockedReluciteChest	Text		Rương Relucite Khóa
Items/LockedReluciteChestDesc	Text		Một chiếc rương cứng cáp làm từ relucite với những sợi xích nặng nề quấn quanh. Nó có thể được mở bằng chìa khóa phù hợp.
Items/LockedScarletChest	Text		Rương Scarlet Khóa
Items/LockedScarletChestDesc	Text		Một chiếc rương chắc chắn làm từ scarlet với những sợi xích nặng nề quấn quanh. Nó có thể được mở bằng chìa khóa phù hợp.
Items/LockedSolariteChest	Text		Rương Solarite Khóa
Items/LockedSolariteChestDesc	Text		Một chiếc rương lấp lánh làm từ solarite với những sợi xích nặng nề quấn quanh. Nó có thể được mở bằng chìa khóa phù hợp.
Items/LogicCircuit	Text		Mạch Logic
Items/LogicCircuitDesc	Text		Điện có thể đi qua mạch khi nhận được điện trên chính xác 2 trong số 3 đầu vào.
Items/LoomSpinningWheel	Text		Khung Cửi
Items/LoomSpinningWheelDesc	Text		Thiết bị cổ xưa này giúp biến chất xơ thành những bộ quần áo và trang phục đẹp đẽ.
Items/LooseFlooring	Text		Tấm Sàn Rời Đất Sét
Items/LooseFlooringDesc	Text		Một bộ sưu tập các lớp phủ mặt đất có thể chế tác làm từ đất sét. Một người đam mê thực sự có thể biến chúng thành các hình dạng và màu sắc khác nhau.
Items/LostPaddle	Text		Mái Chèo Thất Lạc
Items/LostPaddleDesc	Text		Ở đâu đó ngoài kia, chắc hẳn ai đó đã chèo thuyền xoay vòng vòng.
Items/LucentOakTree	Text		Sồi Phát Sáng
Items/LucentOakTreeDesc	Text		Thứ từng được coi là một cái cây bình thường nay đã được các tinh thể thâm nhập, biến nó thành một tác phẩm nghệ thuật sống động.
Items/LuckyCat	Text		Mèo May Mắn
Items/LuckyCatDesc	Text		"""""""Khi được cấp điện, chú mèo sứ quyến rũ này sẽ vẫy tay như muốn nói, ""Vận may luôn mỉm cười với loài mèo!""""
""
""
"
Items/LuckyRing	Text		Nhẫn May Mắn
Items/LuckyRingDesc	Text		Một chiếc nhẫn rẻ tiền từ máy bán hàng tự động. Nếu bạn tin tưởng đủ nhiều, bạn có thể cảm thấy may mắn hơn.
Items/LumpOfCoal	Text		Cục Than Đá
Items/LumpOfCoalDesc	Text		Một mảnh than bám đầy bụi bẩn khiến tay bạn đen nhẻm và lương tâm bị hoen ố. Phải chăng bạn đã nghịch ngợm?
Items/Lunacorn	Text		Lunacorn
Items/LunacornDesc	Text		Một loại nông sản nhiều bột, đầy màu sắc giúp tăng độ dẻo dai của bạn.
Items/LunacornRare	Text		Lunacorn Vàng
Items/LunacornRareDesc	Text		Một biến thể cực kỳ hiếm gặp của lunacorn thông thường.
Items/LunacornSeed	Text		Hạt Giống Lunacorn
Items/LunacornSeedDesc	Text		Phát triển thành một loại cây trồng đầy cảm hứng khi trồng. Chỉ phát triển trên mặt đất tinh thể đã chuẩn bị.
Items/LuxuriousHandmirror	Text		Gương Cầm Tay Sang Trọng
Items/LuxuriousHandmirrorDesc	Text		Một chiếc gương cầm tay ở tình trạng tuyệt vời. Rõ ràng ai đó đã có gu thẩm mỹ rất tốt.
Items/MagicMirror	Text		Gương Thần
Items/MagicMirrorDesc	Text		Món đồ nội thất thần bí này đã được cường hóa theo những cách kỳ lạ. Nhìn vào nó cho phép bạn thay đổi diện mạo của mình.
Items/MagicPotion	Text		Thuốc Bí Thuật
Items/MagicPotionDesc	Text		Một hỗn hợp dễ bay hơi giúp khuếch đại năng lượng ma thuật của bạn.
Items/MagnetOffHand	Text		Nam Châm
Items/MagnetOffHandDesc	Text		Một thanh nam châm với sức hút ấn tượng thách thức các giới hạn của điện từ học.
Items/MagneticRing	Text		Nhẫn Từ Tính
Items/MagneticRingDesc	Text		Một chiếc nhẫn kỳ lạ giúp thu hút các chiến lợi phẩm xung quanh bạn trong bán kính lớn hơn. Nam châm, hoạt động như thế nào nhỉ?
Items/MakeAWishHat	Text		Mũ Ước Nguyện
Items/MakeAWishHatDesc	Text		Chiếc mũ tiệc tùng lấp lánh dành cho một trái tim hào phóng. Những hang động bớt đi phần tăm tối, và thế giới bớt đi phần u ám nhờ vào tấm lòng từ thiện của bạn.
Items/MalugazChest	Text		Rương Malugaz
Items/MalugazChestDesc	Text		Chiếc rương da bị nguyền rủa gợi nhớ đến Pháp Sư Tha Hóa.
Items/MalugazTrophy	Text		Mô hình Malugaz
Items/MalugazTrophyDesc	Text		Mô hình sống động của Malugaz Kẻ Tha Hóa.
Items/ManaPotion	Text		Thuốc Năng Lượng
Items/ManaPotionDesc	Text		Một loại dược phẩm hiệu nghiệm giúp lấp đầy năng lượng bên trong của bạn ngay lập tức. Vị ngọt ngào.
Items/Mannequin	Text		Ma-nơ-canh
Items/MannequinDesc	Text		Một hình nhân bằng gỗ tuyệt vời để trưng bày trang bị và giúp bớt đi cảm giác cô đơn.
Items/MeadowBush	Text		Bụi Cây Đồng Cỏ
Items/MeadowBushDesc	Text		Một vệt cỏ đồng cỏ màu vàng dùng để trang trí.
Items/MeadowTallGrass	Text		Cỏ Cao Đồng Cỏ
Items/MeadowTallGrassDesc	Text		Một vệt cỏ cao đồng cỏ màu vàng lớn dùng để trang trí.
Items/MeadowTree	Text		Cây Đồng Cỏ
Items/MeadowTreeDesc	Text		Sự yên bình của đồng cỏ đã tạo ra một biến thể Cây Xum Xuê mọc ra những chiếc lá màu vàng kim. Hãy trồng nó lại xuống đất để trang trí cho ngôi nhà của bạn.
Items/Meat	Text		Thịt Vân Cẩm Thạch
Items/MeatDesc	Text		Một miếng thịt dày cộp đang chờ được ninh nhừ và tẩm ướp gia vị.
Items/MechanicalArm	Text		Cánh Tay Cơ Khí
Items/MechanicalArmDesc	Text		Một mảnh công nghệ cổ đại khổng lồ. Các khớp bị cứng nhưng nó hẳn đã thực hiện những nhiệm vụ phi thường trong quá khứ.
Items/MechanicalPart	Text		Linh Kiện Cơ Khí
Items/MechanicalPartDesc	Text		Một mảnh máy móc cổ xưa.
Items/MediumCritterPouch	Text		Túi Sinh Vật Vừa
Items/MediumCritterPouchDesc	Text		Một chiếc túi vừa được làm dành riêng cho sinh vật, với các ô chuyên dụng tự động sắp xếp các vật phẩm khi bạn thu thập chúng.
Items/MediumFishPouch	Text		Túi Cá Vừa
Items/MediumFishPouchDesc	Text		Một chiếc túi vừa được làm dành riêng cho cá, với các ô chuyên dụng tự động sắp xếp các vật phẩm khi bạn thu thập chúng.
Items/MediumOreAndBlockPouch	Text		Túi Quặng Và Khối Vừa
Items/MediumOreAndBlockPouchDesc	Text		Một chiếc túi vừa được làm dành riêng cho quặng và khối đất đá, với các ô chuyên dụng tự động sắp xếp các vật phẩm khi bạn thu thập chúng.
Items/MediumPotionPouch	Text		Túi Thuốc Dược Phẩm Vừa
Items/MediumPotionPouchDesc	Text		Một chiếc túi vừa được làm dành riêng cho thuốc dược phẩm, với các ô chuyên dụng tự động sắp xếp các vật phẩm khi bạn thu thập chúng.
Items/MediumSeedAndCropsPouch	Text		Túi Hạt Giống Và Nông Sản Vừa
Items/MediumSeedAndCropsPouchDesc	Text		Một chiếc túi vừa được làm dành riêng cho hạt giống và nông sản, với các ô chuyên dụng tự động sắp xếp các vật phẩm khi bạn thu thập chúng.
Items/MediumValuablePouch	Text		Túi Đồ Quý Giá Vừa
Items/MediumValuablePouchDesc	Text		Một chiếc túi vừa được làm dành riêng cho các vật phẩm quý giá, với các ô chuyên dụng tự động sắp xếp các vật phẩm khi bạn thu thập chúng.
Items/MeltingCrystalRing	Text		Nhẫn Tinh Thể Nóng Chảy
Items/MeltingCrystalRingDesc	Text		Một chiếc nhẫn nhầy nhụa chảy chất nhầy trơn trượt xuống sàn nhà.
Items/MetalBarrel	Text		Thùng Phuy Kim Loại
Items/MetalBarrelDesc	Text		Thùng chứa chất thải nguy hại. Nó được niêm phong chặt chẽ dù tốt hay xấu.
Items/MetalBarricade	Text		Rào Chắn Kim Loại
Items/MetalBarricadeDesc	Text		Một rào chắn kim loại đáng tin cậy giữ sự tò mò và hỗn loạn cách xa nhau.
Items/MetalGrateBridge	Text		Cầu Lưới Kim Loại
Items/MetalGrateBridgeDesc	Text		Cây cầu kim loại từng được sử dụng để băng qua dung nham trong mỏ đá nóng chảy.
Items/MetalPallet	Text		Khay Kim Loại
Items/MetalPalletDesc	Text		Một khay kim loại nặng được chế tạo để vận chuyển trang bị và vật tư.
Items/MetalTable	Text		Bàn Kim Loại
Items/MetalTableDesc	Text		Một bộ các tấm kim loại nặng, được cải tiến lại thành một chiếc bàn.
Items/MeteorStaff	Text		Trượng Thiên Thạch Tha Hóa
Items/MeteorStaffDesc	Text		Cây trượng cũ kỹ tràn ngập sự tha hóa vũ trụ. Nó lách tách những nguồn năng lượng khôn lường và những tiếng thì thầm của sức mạnh bị cấm.
Items/MeteorStaffLesser	Text		Trượng Thiên Thạch Độc Hại
Items/MeteorStaffLesserDesc	Text		Cây trượng bị ô uế vấy đầy mầm bệnh ăn mòn. Nó xèo xèo những nguồn năng lượng cay đắng trút xuống những giọt độc tố đậm đặc.
Items/MildewLeaf	Text		Lá Mốc Sương
Items/MildewLeafDesc	Text		Một chiếc lá với những đốm mốc trắng trên đó, ngoài ra trông nó không hề bị tổn hại gì.
Items/Milk	Text		Sữa Đồng Cỏ
Items/MilkDesc	Text		Một chai sữa có hương vani nhẹ và dư vị đất mộc mạc.
Items/Mimite	Text		Quái Mimite
Items/MimiteTrophy	Text		Mô hình Mimite
Items/MimiteTrophyDesc	Text		Mô hình sống động của một Mimite.
Items/Minecart	Text		Xe Mỏ
Items/MinecartDesc	Text		Cho phép di chuyển trên đường ray với tốc độ cao.
Items/MinerBreastArmor	Text		Đồ Lao Động Thợ Mỏ
Items/MinerBreastArmorDesc	Text		Một bộ quần áo kéo khóa kín khí để làm việc trong các hang động sâu. Màu cam rực rỡ khiến nó trông rất chuyên nghiệp.
Items/MinerHelm	Text		Mũ Bảo Hộ Thợ Mỏ
Items/MinerHelmDesc	Text		Chiếc mũ bảo hộ tiện lợi tích hợp kính và một chiếc đèn pha vẫn còn hoạt động.
Items/MinerPantsArmor	Text		Quần Bảo Hộ Thợ Mỏ
