Key	English
Items/HivemotherTrophy	Hive Mother Figurine
Items/HivemotherTrophyDesc	A lifelike representation of the Hive Mother.
Items/HomeworldReminiscence	Homeworld Reminiscence
Items/HomeworldReminiscenceDesc	The replica of a blue, glistening planet, orbited by what seems to be three suns. Is this a model of a solar system?
Items/HostileCreatureProximitySensor	Enemy Proximity Sensor
Items/HostileCreatureProximitySensorDesc	A sensor that responds to the presence of hostile creatures.
Items/HotChocolate	Hot Chocolate
Items/HotChocolateDesc	A mug full of creamy, hot chocolate milk with small marshmallows on top. Drinking it feels like being a kid again.
Items/HotPunch	Hot Punch
Items/HotPunchDesc	Sitting down with this nice beverage will send a shiver of cozyness down ones spine. It's spicy, fruity and simply tasty.  
Items/HourglassRing	Hourglass Ring
Items/HourglassRingDesc	Has a small hourglass on top. The sand within has stopped flowing down.
Items/HunterBreastArmor	Hunter Cloak
Items/HunterBreastArmorDesc	A cloak crafted from big leaves woven together. Makes you look like a walking bush.
Items/HunterHelm	Hunter Hood
Items/HunterHelmDesc	This hood is made from big leaves tucked into a headband. Lets you blend into green environments.
Items/HuntingSpear	Hunting Spear
Items/HuntingSpearDesc	A very crude long-reach weapon used by the cavelings dwelling in the Clay Caves. Good to hunt larvae and place them over a fire.
Items/HydraBoneBreastArmor	Hydra Bone Breastplate
Items/HydraBoneBreastArmorDesc	The nearly indestructible rib bones of a hydra; they adjust to the chest size of the wearer.
Items/HydraBoneHelm	Hydra Bone Helm
Items/HydraBoneHelmDesc	The gruesome-looking empty skull of a hydra. One senses a malevolent presence when putting it on.
Items/HydraBonePantsArmor	Hydra Bone Shins
Items/HydraBonePantsArmorDesc	An extremely sturdy lower body armor reinforced with hydra bone plates.
Items/HydraBoneShield	Hydra Bone Shield
Items/HydraBoneShieldDesc	The heavy top part of a hydra's skull. Made to withstand deep pressure within the earth, it makes for a great protection in battle.
Items/HydraBoneSword	Hydra Bone Sword
Items/HydraBoneSwordDesc	A jagged sword made from a hydra's spine. It is not particularly sharp but its uneven shape can tear dangerous wounds into your opponents.
Items/HydraBoneTooth	Hydra Tooth
Items/HydraBoneToothDesc	The long fang of a hydra. It emanates a primal energy that is waiting to be harnessed.
Items/HydraBossDesertBait	Wind Organ of Fire
Items/HydraBossDesertBaitDesc	A ritual instrument that works with wind blowing through its cavities. The sound it plays is perfectly tuned to attract a beast of the dry wastes.
Items/HydraBossDesertChest	Pyrdra Chest
Items/HydraBossDesertChestDesc	An intimidating chest that's reminiscent of Pyrdra the Fire Titan.
Items/HydraBossDesertScanner	Pyrdra the Fire Titan Scanner
Items/HydraBossDesertScannerDesc	Scans the world for Pyrdra the Fire Titan. Consumed on successful scan.
Items/HydraBossDesertTrophy	Pyrdra Figurine
Items/HydraBossDesertTrophyDesc	A lifelike representation of Pyrdra the Fire Titan.
Items/HydraBossFirstCraftingItem	Giant Bug Brain
Items/HydraBossFirstCraftingItemDesc	The main sensory organ of Ra-Akar. It has evolved to detect disturbances deep in the ground and might become useful later.
Items/HydraBossNatureBait	Wind Organ of Wilderness
Items/HydraBossNatureBaitDesc	A ritual instrument that works with wind blowing through its cavities. The sound it plays is perfectly tuned to attract a beast of the wild jungle.
Items/HydraBossNatureChest	Druidra Chest
Items/HydraBossNatureChestDesc	An intimidating chest that's reminiscent of Druidra the Wild Titan.
Items/HydraBossNatureCraftingItem	Pink Hydra Eye
Items/HydraBossNatureCraftingItemDesc	One of the three eyes of Druidra. It has a deep connection to other hydra entities and plays a key role in attracting them.
Items/HydraBossNatureScanner	Druidra the Wild Titan Scanner
Items/HydraBossNatureScannerDesc	Scans the world for Druidra the Wild Titan. Consumed on successful scan.
Items/HydraBossNatureTrophy	Druidra Figurine
Items/HydraBossNatureTrophyDesc	A lifelike representation of Druidra the Wild Titan.
Items/HydraBossSeaBait	Wind Organ of Ice
Items/HydraBossSeaBaitDesc	A ritual instrument that works with wind blowing through its cavities. The sound it plays is perfectly tuned to attract a beast of the blue depths.
Items/HydraBossSeaChest	Crydra Chest
Items/HydraBossSeaChestDesc	An intimidating chest that's reminiscent of Crydra the Ice Titan. For mysterious purposes, it floats on water.
Items/HydraBossSeaCraftingItem	White Hydra Eye
Items/HydraBossSeaCraftingItemDesc	One of the three eyes of Crydra. It has a deep connection to other hydra entities and plays a key role in attracting them.
Items/HydraBossSeaScanner	Crydra the Ice Titan Scanner
Items/HydraBossSeaScannerDesc	Scans the world for Crydra the Ice Titan. Consumed on successful scan.
Items/HydraBossSeaTrophy	Crydra Figurine
Items/HydraBossSeaTrophyDesc	A lifelike representation of Crydra the Ice Titan.
Items/HydraBossVoidBait	Wind Organ of Void
Items/HydraBossVoidBaitDesc	A ritual instrument that works with wind blowing through its cavities. The sound it plays is perfectly tuned to attract a beast of oblivion.
Items/HydraBossVoidChest	Oblidra Chest
Items/HydraBossVoidChestDesc	An intimidating chest that's reminiscent of Oblidra the Void Lord.
Items/HydraBossVoidCraftingItem	Oblivion Fragment
Items/HydraBossVoidCraftingItemDesc	A piece of obliterated antimatter. It has a deep connection to entities living in negative space and plays a key role in attracting one.
Items/HydraBossVoidScanner	Oblidra the Void Lord Scanner
Items/HydraBossVoidScannerDesc	Scans the world for Oblidra the Void Lord. Consumed on successful scan.
Items/HydraBossVoidTrophy	Oblidra Figurine
Items/HydraBossVoidTrophyDesc	A lifelike representation of Oblidra the Void Lord.
Items/HydraJewelryDesertNecklace	Pyrdra's Necklace
Items/HydraJewelryDesertNecklaceDesc	A scorching necklace that imbues the holder with powers of the burning heat.
Items/HydraJewelryNatureRing	Druidra's Ring
Items/HydraJewelryNatureRingDesc	A leafy ring that imbues the holder with powers of the poisonous nature.
Items/HydraJewelrySeaRing	Crydra's Ring
Items/HydraJewelrySeaRingDesc	An icy ring that imbues the holder with powers of the cold elements.
Items/HydraWorkbench	Hydra Altar
Items/HydraWorkbenchDesc	A ritual workbench that allows the crafting of instruments that can only be heard by the beasts of the deep.
Items/ICircuit	I Circuit
Items/ICircuitDesc	A circuit that directs electricity in a straight line exclusively.
Items/IgneousTrophy	Igneous Figurine
Items/IgneousTrophyDesc	A lifelike representation of Igneous, the Molten Mass.
Items/ImmuneZoneEmitter	Ward Coil
Items/ImmuneZoneEmitterDesc	This object emits a warding zone, imbuing structures inside with aberrant permanence. It prevents object placement, destruction, and limits interaction.
Items/ImmuneZoneEmitterLarge	Superior Ward Coil
Items/ImmuneZoneEmitterLargeDesc	This object emits a very vast warding zone, imbuing structures inside with aberrant permanence. It prevents object placement, destruction, and limits interaction.
Items/ImmuneZoneEmitterMedium	Greater Ward Coil
Items/ImmuneZoneEmitterMediumDesc	This object emits a vast warding zone, imbuing structures inside with aberrant permanence. It prevents object placement, destruction, and limits interaction.
Items/IncenseBowl	Incense Bowl
Items/IncenseBowlDesc	A porcelain bowl with blue details on the edge and dark residue in its center. The smell that still lingers around it eases the senses.
Items/Incinerator	Incinerator
Items/IncineratorDesc	Processes items to be forever destroyed when powered by electricity.
Items/InfectedCaveling	Infected Caveling
Items/InfoBoardBroken	Broken Holoboard
Items/InfoBoardBrokenDesc	A broken panel made from blue glass. It's hard to make out the flickering glyphs on it.
Items/InfoBoardLarge	Large Holoboard
Items/InfoBoardLargeDesc	A vertical large panel made from blue glass. The flickering glyphs on it almost appear like some kind of advertisement.
Items/InfoBoardSmall	Small Holoboard
Items/InfoBoardSmallDesc	A vertical panel made from blue glass. The flickering glyphs on it almost appear like a city map.
Items/InstrumentCello	Cello
Items/InstrumentCelloDesc	A string instrument made from wood. It's not a world-class creation but good enough to fill the silent caves with harmony.
Items/InstrumentDrumkit	Drumkit
Items/InstrumentDrumkitDesc	An instrument that annoys the neighbors but induces irresistible rhythm when played correctly.
Items/InstrumentFlute	Flute
Items/InstrumentFluteDesc	A fine wind instrument producing a whistling sound. Can be tricky to master.
Items/InstrumentHarp	Harp
Items/InstrumentHarpDesc	Simply gliding the fingertips across its fine strings results in a harmonic sound vibrating through the air.
Items/InstrumentPiano	Pocket Piano
Items/InstrumentPianoDesc	This transportable key instrument can be played solo or as a nice addition to an orchestra.
Items/IntactGrave	Servant Grave
Items/IntactGraveDesc	This grave made from stone shows the relief of an ancient caveling in service of the kingdom that once persisted in the desert.
Items/InventorBreastArmor	Inventor Apron
Items/InventorBreastArmorDesc	An apron contaminated with at least five never-before-seen chemical compounds.
Items/InventorHelm	Inventor Goggles
Items/InventorHelmDesc	Goggles saturated with a maniacal green from one too many experimental mishaps.
Items/InventorPantsArmor	Inventor Leggings
Items/InventorPantsArmorDesc	Pants reeking of the strange smells from the countless vials lining its belt.
Items/InventoryAncientChest	Ancient Chest
Items/InventoryAncientChestDesc	This chest seems to be thousands of years old.
Items/InventoryChest	Chest
Items/InventoryChestDesc	Useful for storing items and allows them to be used in crafting when placed nearby workbenches.
Items/InventoryDesertBiomeChest	Golden Ancient Chest
Items/InventoryDesertBiomeChestDesc	A golden version of the ancient chest which seems to be even older.
Items/InventoryExcavationBiomeChest	Plain Chest
Items/InventoryExcavationBiomeChestDesc	Who ever said storage containers need to be complex?
Items/InventoryLarvaHiveChest	Larva Hive Chest
Items/InventoryLarvaHiveChestDesc	Less like a chest and more like a living organism.
Items/InventoryLavaChest	Smoldering Chest
Items/InventoryLavaChestDesc	A container with a fiery crust but its insides are safe for storage.
Items/InventoryMoldDungeonChest	Mold Covered Chest
Items/InventoryMoldDungeonChestDesc	An ancient chest overgrown with white mold.
Items/InventorySeaBiomeChest	Seashell Chest
Items/InventorySeaBiomeChestDesc	Is it a chest or is it a clam?
Items/IronAnvil	Iron Anvil
Items/IronAnvilDesc	Great for creating high tier equipment.
Items/IronBar	Iron Bar
Items/IronBarDesc	A strong metal ingot for blacksmithing.
Items/IronBow	Iron Bow
Items/IronBowDesc	A sturdy bow to shoot foes from afar.
Items/IronBreastArmor	Iron Breastplate
Items/IronBreastArmorDesc	Charge into battle with this epic chest piece.
Items/IronChest	Iron Chest
Items/IronChestDesc	An old chest made from iron. It is not locked anymore.
Items/IronChunkNecklace	Iron Chunk Necklace
Items/IronChunkNecklaceDesc	A heavy piece of jewelry that increases defense.
Items/IronFishingRod	Iron Fishing Rod
Items/IronFishingRodDesc	A strong tool for pulling up rare fish.
Items/IronHalberdSpear	Iron Halberd
Items/IronHalberdSpearDesc	A luxurious pole-weapon fit for a royal guardian and perfect for poking at adversaries.
Items/IronHelm	Iron Helm
Items/IronHelmDesc	Tough helm fit for knights. Comes with a visor and a flamboyant plume.
Items/IronHoe	Iron Hoe
Items/IronHoeDesc	A strong tool to prepare ground for farming. Covers an area of up to 4x4 tiles.
Items/IronKey	Iron Key
Items/IronKeyDesc	An old key cast in iron. There should be a lock somewhere that it fits into.
Items/IronMiningPick	Iron Pickaxe
Items/IronMiningPickDesc	A strong tool, excellent for breaking down harder walls.
Items/IronOre	Iron Ore
Items/IronOreBoulder	Iron Ore Boulder
Items/IronOreDesc	Commonly found in stone walls.
Items/IronPantsArmor	Iron Pants
Items/IronPantsArmorDesc	You've got knees of steel!
Items/IronShield	Iron Shield
Items/IronShieldDesc	A heraldic shield offering significant protection from attacks.
Items/IronShovel	Iron Shovel
Items/IronShovelDesc	A strong shovel, excellent for digging up ground. Covers an area of up to 2x2 tiles.
Items/IronSledge	Iron Sledge Hammer
Items/IronSledgeDesc	A strong weapon for smashing foes and walls.
Items/IronSword	Iron Sword
Items/IronSwordDesc	A strong weapon for slaying foes.
Items/IronWorkBench	Iron Workbench
Items/IronWorkBenchDesc	Essential workbench for survival in the underground.
Items/ItemCollector	Item Collector
Items/ItemCollectorDesc	Collects items within its detection range when powered by electricity.
Items/IvyBreastArmor	Ivy's Thorn Harness
Items/IvyBreastArmorDesc	This organic breastplate armor is crested with thorns, allowing for stronger critical hits.
Items/IvyChest	Ivy's Chest
Items/IvyChestDesc	A slime-covered chest reminiscent of the Poisonous Mass.
Items/IvyPantsArmor	Ivy's Pants
Items/IvyPantsArmorDesc	Lower body armor naturally grown in the underground jungle, featuring thorned kneecaps.
Items/IvyRing	Ivy's Ring
Items/IvyRingDesc	An organic ring grown from slime covered thorns.
Items/IvyTrophy	Ivy Figurine
Items/IvyTrophyDesc	A lifelike representation of Ivy the Poisonous Mass.
Items/JellyFish	Gem-Jellyfish
Items/JellyFishDesc	A glowing kind of jellyfish that inherited ancient energy.
Items/JellyfishDestructable	Beached Jelly
Items/JellyfishDestructableDesc	A gelatinous creature containing goods from the sea.
Items/JewelryWorkBench	Jewelry Workbench
Items/JewelryWorkBenchDesc	Workbench for creating rings and necklaces.
Items/JingleJamCookie	Jingle Jam Cookie
Items/JingleJamCookieDesc	A special gift for participating in the Jingle Jam charity event.
Items/JuteBag	Small Backpack
Items/JuteBagDesc	A simple backpack, made from smoothened bark.
Items/KeenPotion	Keen Potion
Items/KeenPotionDesc	A cold elixir that focuses your senses and aim.
Items/KelpDumpling	Kelp Dumpling
Items/KelpDumplingDesc	A soft, warm dumpling that smells pretty... funny. You don't really want to know where that one came from.
Items/KelpTree	Kelp Tree
Items/KelpTreeDesc	It's technically not a tree but a giant kelp with a double-helix coral as a trunk.
Items/KeyCraftingTable	Key Casting Table
Items/KeyCraftingTableDesc	A workbench with changeable casting plates to create all kinds of different keys.
Items/Kiln1	Broken Clay Kiln
Items/Kiln1Desc	Having seen many years of use this old kiln is beyond repair.
Items/Kiln2	Clay Firing Bucket
Items/Kiln2Desc	A simple gadget that was used to burn clay and make it harder.
Items/KinematicDynamo	Kinematic Dynamo
Items/KinematicDynamoDesc	Emits a low charge of electricity when struck. Equally sturdy and responsive.
Items/KingSlimeChest	King Slime's Chest
Items/KingSlimeChestDesc	A slime-covered chest with golden additions reminiscent of the King Slime.
Items/KingSlimeCrown	King Slime Crown
Items/KingSlimeCrownDesc	A rare headpiece that crowns you as king of all slimes. You feel very royal wearing it.
Items/KingSlimeSummoningItem	Crown Summoning Idol
Items/KingSlimeSummoningItemDesc	A crystal idol that feels out of this world. Consumed upon placing it on any Giant Slime summoning rune.
Items/KingSlimeTrophy	King Slime Figurine
Items/KingSlimeTrophyDesc	A lifelike representation of the King Slime.
Items/KingfishScale	Kingfish Scale
Items/KingfishScaleDesc	This beautiful scale seems to belong to a truly extraordinary fish.
Items/LCircuit	L Circuit
Items/LCircuitDesc	A circuit that directs electricity through a right angle.
Items/LaboratoryWorkbench	Laboratory Table
Items/LaboratoryWorkbenchDesc	A workbench that can be used to concoct complex potions and explosives.
Items/Lamp	Lamp
Items/LampDesc	Lights up when powered by electricity.
Items/LampPost	Lamp Post
Items/LampPostDesc	A tall bright lit pillar clad in brass, fitting for illuminating dark liminal paths.
Items/LandKelp	Land Algae
Items/LandKelpDesc	A type of algae that can grow outside of water.
Items/Lantern	Lantern
Items/LanternDesc	A small, useful light that leaves your hands free.
Items/LargeAlienTechDestructible	Large Alien Tech Destructible
Items/LargeAlienTechDestructibleDesc	A breakable storage unit that is not from this world. It contains extraterrestrial goods.
Items/LargeAncientDestructible	Large Ancient Crate
Items/LargeAncientDestructibleDesc	A large mysteriously glowing container holding ancient goods.
Items/LargeBomb	Large Bomb
Items/LargeBombDesc	A very strong explosive for massive destruction.
Items/LargeCityDestructible	Large Metropolis Crate
Items/LargeCityDestructibleDesc	This wide precious storage holds useful items that have been used by citizens of the ancient city.
Items/LargeCritterPouch	Large Critter Pouch
Items/LargeCritterPouchDesc	A large pouch made exclusively for critters, with dedicated slots that auto-sort items as you gather them.
Items/LargeCrystalDestructible	Large Sun Crystal
Items/LargeCrystalDestructibleDesc	A tall but fragile crystal cluster that shimmers like the sun. You can see items encased within.
Items/LargeDesertDestructible	Large Desert Flower Vessel
Items/LargeDesertDestructibleDesc	A massive dry plant containing natural loot from the desert.
Items/LargeDesertTempleDestructible	Large Temple Crate
Items/LargeDesertTempleDestructibleDesc	A hefty piece of an ancient monument filled with goods of an old desert civilization.
Items/LargeFishPouch	Large Fish Pouch
Items/LargeFishPouchDesc	A large pouch made exclusively for fish, with dedicated slots that auto-sort items as you gather them.
Items/LargeJellyfishDestructable	Large Beached Jelly
Items/LargeMoldDestructible	Large Mold Vessel
Items/LargeMoldDestructibleDesc	A hollow and fuzzy fungal cluster. Breaking it open may yield some useful goods.
Items/LargeOreAndBlockPouch	Large Ore and Block Pouch
Items/LargeOreAndBlockPouchDesc	A large pouch made exclusively for ores and blocks, with dedicated slots that auto-sort items as you gather them.
Items/LargePassageDestructible	Large Fossil Cluster
Items/LargePassageDestructibleDesc	A heaping pile of calcified marine fossils. There may be some resources inside.
Items/LargePotionPouch	Large Potion Pouch
Items/LargePotionPouchDesc	A large pouch made exclusively for potions, with dedicated slots that auto-sort items as you gather them.
Items/LargeSeedAndCropsPouch	Large Seed and Crop Pouch
Items/LargeSeedAndCropsPouchDesc	A large pouch made exclusively for seeds and crops, with dedicated slots that auto-sort items as you gather them.
Items/LargeShinyGlimmeringObject	Large Shiny Glimmering Object
Items/LargeShinyGlimmeringObjectDesc	A crystalline, egg-shaped object that could catch attention from great heights.
Items/LargeTempleRug	Large Temple Decor Rug
Items/LargeTempleRugDesc	A large, ancient rug with a very detailed design woven into it. It must once have been an expensive item and a sign of prosperity.
Items/LargeValuablePouch	Large Valuable Pouch
Items/LargeValuablePouchDesc	A large pouch made exclusively for valuables, with dedicated slots that auto-sort items as you gather them.
Items/LargeWaterCan	Large Watering Can
Items/LargeWaterCanDesc	Used to water seeds and soil. It holds more water than a regular watering can and covers an area of up to 2x2 tiles.
Items/Larva	Larva
Items/LarvaBBQ	Roast Firepit
Items/LarvaBBQDesc	Part fireplace, part barbecue. It is a great place to huddle together and enjoy some burned pieces of larva meat.
Items/LarvaBossCrystal	Ghorm's Horn
Items/LarvaBossCrystalDesc	A pointy gemstone that let a larva grow way beyond its maximum size.
Items/LarvaBossScanner	Ghorm the Devourer Scanner
Items/LarvaBossScannerDesc	Scans the world for Ghorm the Devourer. Consumed on successful scan.
Items/LarvaBossSummoningItem	Ghorm Summoning Idol
Items/LarvaBossSummoningItemDesc	Crystal idol to reawaken Ghorm the Devourer. Consumed upon placing it on Ghorm's summoning rune.
Items/LarvaBreastArmor	Larva Chest
Items/LarvaBreastArmorDesc	Don't be anything else. Be grub.
Items/LarvaHelm	Larva Helm
Items/LarvaHelmDesc	No need for fancy hats. Just grub.
Items/LarvaMeat	Larva Meat
Items/LarvaMeatDesc	Only true survivors eat it raw.
Items/LarvaRing	Larva Ring
Items/LarvaRingDesc	A living ring, not for the squirmish to wear.
Items/LarvaSkewer	Larva Skewer
Items/LarvaSkewerDesc	A pretty cruel way of stacking up meat for later use.
Items/LarvaSpikeClub	Larva Spike Club
Items/LarvaSpikeClubDesc	A bludgeoning weapon that is hard to withstand.
Items/LarvaTrophy	Larva Figurine
Items/LarvaTrophyDesc	A lifelike representation of a Larva.
Items/LarvaskinRug	Larvaskin Rug
Items/LarvaskinRugDesc	This gross rug doubles down as a trophy for the hunted larva that provided their skin.
Items/LarvaskinRugRed	Hive Larvaskin Rug
Items/LarvaskinRugRedDesc	This gross rug doubles down as a trophy for the hunted hive larva that provided their skin.
Items/LarvaskinTent	Larvaskin Tent
Items/LarvaskinTentDesc	This simple type of housing must have used many skins of larva. There are patches of other creatures thrown in too.
Items/LaserDrillTool	Obliteration Ray
Items/LaserDrillToolDesc	A high energy mining tool that is at the constant limit of bursting. The barely contained laser melts almost anything in its path.
Items/LavaAxe	Lava Battle Axe
Items/LavaAxeDesc	A smoldering, heavy weapon that looks like it was just taken out of the forge.
Items/LavaBreastArmor	Magma Torso Armor
Items/LavaBreastArmorDesc	This fiery armor is almost too hot to handle but becomes well-tempered when worn.
Items/LavaButterfly	Lava Butterfly
Items/LavaButterflyTrophy	Lava Butterfly Figurine
Items/LavaButterflyTrophyDesc	A lifelike representation of a Lava Butterfly
Items/LavaHelm	Magma Horn Armor
Items/LavaHelmDesc	A pretty awesome piece of equipment that makes you look like the harbinger of doom.
Items/LavaMortar	Volcano Mortar
Items/LavaMortarDesc	Erupts molten chunks into the air to crash like meteoroids.
Items/LavaPantsArmor	Magma Shin Armor
Items/LavaPantsArmorDesc	A melting leg armor made from liquid stone, giving hot legs a whole new definition.
Items/LavaPost1	Broken Quarry Timber
Items/LavaPost1Desc	One half of a broken wooden construction that seemed to have once held something in place.
Items/LavaPost2	Large Quarry Timber
Items/LavaPost2Desc	A wooden construction used to keep ore and rocks above a fire. A surge in temperatures rendered it unusable.
Items/LavaRock	Lava Rock
Items/LavaRockDesc	You're not sure why you did this...but at least you now have a very hot rock.
Items/LavaShield	Scorching Aegis
Items/LavaShieldDesc	The crust of molten rock, formed to be wielded like a shield.
Items/LavaSlime	Magma Slime
Items/LavaSlimeBlob	Lava Slime
Items/LavaSlimeBossChest	Igneous' Chest
Items/LavaSlimeBossChestDesc	A magma-covered chest reminiscent of the Molten Mass.
Items/LavaSlimeBossScanner	Igneous the Molten Mass Scanner
Items/LavaSlimeBossScannerDesc	Scans the world for Igneous the Molten Mass. Consumed on successful scan.
Items/LavaSlimeDesc	A dark blob of flaming slime. Can be further processed.
Items/LavaSlimeTrophy	Lava Slime Figurine
Items/LavaSlimeTrophyDesc	A lifelike representation of a Lava Slime.
Items/LavaStalagmite	Lava Stalagmite
Items/LavaStalagmiteDesc	A stone pillar formed over thousands of years through dripping magma.
Items/LavaWoodenDestructible	Charred Crate
Items/LavaWoodenDestructibleDesc	This grand wooden crate has been blackened by a scorching environment.
Items/LeafFossil	Leaf Fossil
Items/LeafFossilDesc	Proof of a once flourishing environment.
Items/Leash	Leash
Items/LeashDesc	This long leash can be attached to any cattle so that they can get hurried along. Quite helpful when there are enemies on the hunt for some tender meat.
Items/LeatherFrame	Clamping Frame
Items/LeatherFrameDesc	This wooden frame has been used to stretch larva skin and manufacture it into leather.
Items/LeatherFrameSmall	Small Clamping Frame
Items/LeatherFrameSmallDesc	This small wooden frame made use of even the tiniest larva to turn its skin into leather.
Items/LegendaryBow	Phantom Spark
Items/LegendaryBowDesc	A legendary, masterfully crafted bow that shoots pure energy projectiles. Sometimes those pierce the veil of time and space, calling upon the spirits of the past.
Items/LegendaryBowParchment	Glyph Parchment
Items/LegendaryBowParchmentDesc	An unusually well preserved piece of ancient paper. There are glyphs and images on it that show how to forge a powerful ancient weapon.
Items/LegendaryBowPart1	Channeling Gemstone
Items/LegendaryBowPart1Desc	A specially carved ancient gemstone that focuses energy at its tip. It seems to be the center piece of an ancient powerful weapon.
Items/LegendaryBowPart2	Fractured Limbs
Items/LegendaryBowPart2Desc	Golden pieces that once seemed to be fused together to endure great pressure. Something inherently powerful must have broken them apart.
Items/LegendaryBowPart3	Energy String
Items/LegendaryBowPart3Desc	A fine filament that has microscopic pieces of ancient gemstones woven into it. Its existence is proof of the absolute mastery over materials by whoever created it.
Items/LegendaryMiningPick	Soul Seeker
Items/LegendaryMiningPickDesc	A successor prototype to the Ancient Pickaxe that had been left unfinished before. In the fires of the Ancient Forge it was now finally completed.
Items/LegendaryMiningPickParchment	Cipher Parchment
Items/LegendaryMiningPickParchmentDesc	An unusually well preserved scroll made from golden paper. Among the blue edged runes are drawings of an ancient forge resembling the face of a caveling.
Items/LegendaryMortar	Credence of Ruin
Items/LegendaryMortarDesc	A relic born of cult devotion and void corruption. Forged from S.A.H.A.B.A.R.'s own frame and sanctified components of Breaker's Reach.
Items/LegendaryMortarParchment	Schematic Parchment
Items/LegendaryMortarParchmentDesc	A well preserved but complicated blueprint. Its pictographs with exotic numerals outline steps in assembling a devastating weapon.
Items/LegendaryMortarPart1	Void-Forged Barrel
Items/LegendaryMortarPart1Desc	A fractured artillery tube, scavenged from the cult's excavation machines. Its surface is warped by void corrosion. Clearly meant to complete a larger design.
Items/LegendaryMortarPart2	Sanctified Firing Core
Items/LegendaryMortarPart2Desc	An ignition device made from gemstone, once used by Sahabar's exiles to fuse prayer and machinery. Even dormant, it radiates the strange conviction of those who believed metal could carry faith. It seems built to align with something greater.
Items/LegendaryMortarPart3	S.A.H.A.B.A.R.'s Mortar Housing
Items/LegendaryMortarPart3Desc	"The shattered launcher torn from S.A.H.A.B.A.R.'s frame. A faint inscription on the housing reads ""Sanctified Artificial Herald Against Breach And Ruin"". Its rails still hold lingering heat."
Items/LegendaryStaff	Titan Breath
Items/LegendaryStaffDesc	Wrought by restrained paradox, it inhales energy to exhale a controlled cut through the aether. Anything trapped within is overwhelmed by the distilled entropy.
Items/LegendaryStaffParchment	Constellation Parchment
Items/LegendaryStaffParchmentDesc	An ancient chart of star clusters. Coordinates highlighted with sigils show points of high ethereal energy, that could be remotely harnessed.
Items/LegendaryStaffPart1	Coiled Branch
Items/LegendaryStaffPart1Desc	Its twigs curl around anything it touches with a firm grip. It could surely bind together the most volatile of pieces.
Items/LegendaryStaffPart2	Magma Rod
Items/LegendaryStaffPart2Desc	Perpetually hot to the touch, cast in a highly arcana-inductive alloy. It would amplify great power if cooled enough to be properly wielded.
Items/LegendaryStaffPart3	Frozen Orb
Items/LegendaryStaffPart3Desc	Cold to the touch, yet never melting. The light within seems ready to wreak havoc if warmed just enough to escape its frigid prison.
Items/LegendarySword	Rune Song
Items/LegendarySwordBlade	Chipped Blade
Items/LegendarySwordBladeDesc	A piece of an ancient weapon. Its glass-like appearance makes it look fragile but it's harder than any material you've seen.
Items/LegendarySwordDesc	A legendary sword that hums when swung through the air. Its durability is a testament to extraordinary craftsmanship, said to carry the whispers of ancient battles within its blade.
Items/LegendarySwordGemstone	Clear Gemstone
Items/LegendarySwordGemstoneDesc	A piece of an ancient weapon. Even though it is of the same material as ancient gemstones, this one feels unnaturally clear and infused with a strange energy.
Items/LegendarySwordParchment	Rune Parchment
Items/LegendarySwordParchmentDesc	An unusually well preserved piece of ancient paper. The runes are impossible to decipher but small symbols hint at it being the recipe for a strange weapon.
Items/Lever	Lever
Items/LeverDesc	Generates a low amount of electricity that can be turned on and off.
Items/LightningGun	Stormbringer
Items/LightningGunDesc	Augmented by a mysterious energy, this weapon unleashes chaining arcs of lightning upon your foes. Holding it sends a tingling sensation through your arms.
Items/LiquidMetal	Splendid Amalgam
Items/LiquidMetalBasin	Amalgam Basin
Items/LiquidMetalBasinDesc	A natural rock formation with volcanic activity. Its connection to the earth's depths allowed it to form a special kind of metal.
Items/LiquidMetalDesc	A boiling-hot metallic fluid that merges with the bodies' cells after consumption, making them more resilient.
Items/LiquidMetalVent	Amalgam Vent
Items/LiquidMetalVentDesc	A side-formation of the Amalgam Basin that gets rid of built up heat.
Items/LithoTrilobite	Litho Trilobite
Items/LithoTrilobiteDesc	The mutated offspring of its extinct ancestor. Its gray shell had adapted to withstand extreme pressure.
Items/LockedCopperChest	Locked Copper Chest
Items/LockedCopperChestDesc	A crude chest made from copper with heavy chains strung around it. It could be opened with the right key.
Items/LockedGalaxiteChest	Locked Galaxite Chest
Items/LockedGalaxiteChestDesc	An indestructible chest made from galaxite with heavy chains strung around it. It could be opened with the right key.
Items/LockedIronChest	Locked Iron Chest
Items/LockedIronChestDesc	An old chest made from iron with heavy chains strung around it. It could be opened with the right key.
Items/LockedKingChest	Locked Desert King Chest
Items/LockedOctarineChest	Locked Octarine Chest
Items/LockedOctarineChestDesc	A clunky chest made from octarine with heavy chains strung around it. It could be opened with the right key.
Items/LockedPrinceChest	Locked Desert Prince Chest
Items/LockedQueenChest	Locked Desert Queen Chest
Items/LockedReluciteChest	Locked Relucite Chest
Items/LockedReluciteChestDesc	A tough chest made from relucite with heavy chains strung around it. It could be opened with the right key.
Items/LockedScarletChest	Locked Scarlet Chest
Items/LockedScarletChestDesc	A sturdy chest made from scarlet with heavy chains strung around it. It could be opened with the right key.
Items/LockedSolariteChest	Locked Solarite Chest
Items/LockedSolariteChestDesc	A shimmering chest made from solarite with heavy chains strung around it. It could be opened with the right key.
Items/LogicCircuit	Logic Circuit
